zip,city,cnty_fips_cd,county,urban_rural_ind,st_cd,st_nm,region_hhs_id,region_hhs_nm,div_cens_id,div_cens_nm,region_cens_id,region_cens_nm,lat_nbr,lon_nbr,x_coord_albers_nbr,y_coord_albers_nbr,
51035,Marcus,35,Cherokee,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.8165,-95.8044,0.32060012,0.01160818,0
51055,Sloan,193,Woodbury,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.2293,-96.2301,0.31872024,-0.00001897,0
51103,Sioux City,193,Woodbury,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.5072,-96.4322,0.31479224,0.00394439,0
51247,Rock Valley,167,Sioux,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.1999,-96.3034,0.31258614,0.01623598,0
51331,Arnolds Park,59,Dickinson,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.3661,-95.1296,0.32550547,0.02356608,0
51347,Lake Park,59,Dickinson,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.446,-95.3221,0.32279483,0.02417214,0
51351,Milford,59,Dickinson,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.3334,-95.1581,0.32535542,0.02289963,0
51355,Okoboji,59,Dickinson,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.387,-95.1379,0.32528983,0.02388827,0
51443,Glidden,27,Carroll,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0704,-94.7244,0.33769024,0.00322689,0
51455,Manning,27,Carroll,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.9061,-95.0596,0.33459841,-0.00090934,0
51463,Templeton,27,Carroll,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.9107,-94.9225,0.33622249,-0.00027848,0
51503,Council Bluffs,155,Pottawattamie,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.257,-95.8128,0.32908903,-0.01492131,0
51535,Griswold,29,Cass,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.2317,-95.134,0.33750788,-0.01262957,0
51551,Malvern,129,Mills,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.0027,-95.586,0.33326736,-0.01833183,0
51555,Missouri Valley,85,Harrison,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5539,-95.887,0.32655367,-0.01017253,0
51559,Neola,155,Pottawattamie,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.4509,-95.6295,0.33025186,-0.01090417,0
51575,Treynor,155,Pottawattamie,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.2458,-95.6186,0.33152111,-0.01433999,0
51579,Woodbine,85,Harrison,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.7396,-95.7068,0.32771635,-0.00631015,0
52004,Dubuque,61,Dubuque,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.4987,-90.668,0.383102,0.02799798,0
52036,Delaware,55,Delaware,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.4741,-91.3505,0.37526683,0.02447628,0
52040,Dyersville,61,Dubuque,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.4839,-91.1194,0.37791399,0.0256862,0
52052,Guttenberg,43,Clayton,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.7686,-91.1026,0.37627032,0.03050664,0
52060,Maquoketa,97,Jackson,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0833,-90.6681,0.38582147,0.02109225,0
52068,Peosta,61,Dubuque,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.4414,-90.818,0.38172114,0.02635516,0
52076,Strawberry Point,43,Clayton,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.6885,-91.5276,0.37182,0.02725882,0
52136,Cresco,89,Howard,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.3702,-92.1146,0.36067173,0.03607544,0
52144,Fort Atkinson,191,Winneshiek,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.1408,-91.9383,0.36416066,0.03300252,0
52172,Waukon,5,Allamakee,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.2691,-91.4832,0.36862892,0.03715284,0
52208,Belle Plaine,11,Benton,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.8952,-92.2746,0.36800412,0.01067315,0
52224,Dysart,171,Tama,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.1672,-92.3044,0.36595783,0.01509561,0
52228,Fairfax,113,Linn,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.9172,-91.7793,0.37375293,0.01324995,0
52240,Iowa City,103,Johnson,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.6485,-91.5158,0.37859191,0.0099576,0
52248,Keota,107,Keokuk,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.3585,-91.9472,0.37527227,0.00316238,0
52316,North English,95,Iowa,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5193,-92.0849,0.3726142,0.00523002,0
52324,Palo,113,Linn,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0543,-91.7964,0.37268333,0.0154633,0
52328,Robins,113,Linn,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0723,-91.664,0.37413664,0.01635843,0
52332,Shellsburg,11,Benton,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.094,-91.8759,0.37149129,0.01577094,0
52336,Springville,113,Linn,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0605,-91.4438,0.37681627,0.01715574,0
52340,Tiffin,103,Johnson,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.7073,-91.6659,0.37643061,0.01025713,0
52352,Walker,113,Linn,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.2717,-91.8003,0.37126283,0.01907821,0
52356,Wellman,183,Washington,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.4799,-91.8365,0.37583353,0.0056896,0
52404,Cedar Rapids,113,Linn,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.9472,-91.6922,0.37459634,0.01414282,0
52544,Centerville,7,Appanoose,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,40.7295,-92.8823,0.36786935,-0.01153897,0
52556,Fairfield,101,Jefferson,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.0103,-91.9631,0.37726859,-0.00272403,0
52632,Keokuk,111,Lee,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,40.4068,-91.3972,0.38794189,-0.01017839,0
52656,West Point,111,Lee,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,40.7248,-91.4529,0.385237,-0.0051449,0
52728,Buffalo,163,Scott,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.4572,-90.7258,0.38923271,0.01042082,0
52732,Clinton,45,Clinton,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.8539,-90.2081,0.39275523,0.01943787,0
52748,Eldridge,163,Scott,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.6599,-90.5709,0.38974564,0.01451244,0
52768,Princeton,163,Scott,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.6813,-90.3516,0.39220261,0.01589859,0
52772,Tipton,31,Cedar,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.7639,-91.1348,0.38238093,0.01362367,0
52776,West Liberty,139,Muscatine,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5752,-91.2638,0.38206229,0.00988854,0
52804,Davenport,163,Scott,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5362,-90.6239,0.38992783,0.01221016,0
50020,Anita,29,Cass,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.4471,-94.7624,0.34079965,-0.00747,0
50028,Baxter,99,Jasper,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.824,-93.1514,0.35797975,0.00565182,0
50036,Boone,15,Boone,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0639,-93.8814,0.34781897,0.00659168,0
50044,Bussey,125,Marion,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.2039,-92.8857,0.36493735,-0.00360184,0
50048,Casey,77,Guthrie,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5085,-94.519,0.34339386,-0.00543108,0
50056,Colo,169,Story,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0153,-93.3111,0.35491817,0.00818297,0
